,nickname,text,score,like,dislike,time,watch_movie
24,기대만발(ssk9****),배우들 연기 다 괜찮은데 특히 동생역할한 배우 눈에 띄었음 신인인 것 같은데 굿! 앞으로도 기대됨,10,72,43,2020-06-10 14:14:00,관람객
25,뿌잉뿌잉(duiu****),연기구멍이 없어서 보기 좋았고요 마지막 메시지까지 완벽합니다,10,103,75,2020-06-10 13:05:00,관람객
26,이혜림(hyek****),스포일러가 포함된 감상평입니다. 감상평 보기,10,33,6,2020-06-29 03:54:00,관람객
27,척척박사(seoj****),배우님들 연기 대박이에요 ㅠㅠ 스토리도 탄탄해서 몰입감 대박이었음 기다려서 본 보람이 있었다능ㅋㅋ,10,118,91,2020-06-10 13:45:00,관람객
28,낭만거북(turt****),"조금은 과한 BGM에 몰입감이 조금 흐려질 수 있었으며, 중반부에 조금 늘어지는 듯하여, 지루할뻔 하기도 하였으나, 탄탄한 연기력을 보여주는 모든 배우들이 그 모든 것을 덮어내었다, 허준호 배우님 정말 너무 너무 ....",10,48,22,2020-06-13 10:37:00,관람객
29,김하영(gkdu****),와 반전이네요.. 저희 엄마는 항상 영화를 지루하게보고 재미없다하는데 이번엔 재밌고 지루하지도 않았다고 하네요! 신혜선님 연기 너무 잘하세요.. 몰입도가 아주 높았어요!!,10,57,31,2020-06-21 20:23:00,관람객
30,suki****,배우들 연기가. 너무좋았음. 코로나 바이러스 다 찢어버릴 연기. 배우 한명 한명 연기가 너무 좋아서 보는 내내 집중하게 만드는... 너무좋은 영화 보고 왔음.,10,190,164,2020-06-10 13:32:00,관람객
31,EVA(shir****),오랜만에 극장에서 좋은 영화 본것같습니다.,10,248,222,2020-06-10 13:44:00,관람객
32,이상우(dltk****),신혜선 배우의 성장에 기쁨을 느낀 영화입니다  첫 주연이라 알고 있는데 앞으로도 흥하길 기원합니다,10,71,46,2020-06-12 16:39:00,관람객
33,출동봉반장(kth2****),관람객들은 평점이 다 좋은데 평점테러한것들은 어떤인간이지?,10,45,21,2020-06-28 11:44:00,관람객
34,ians(umho****),재밌게 봤습니다. 신혜선 배우분 연기도 좋았고 스토리 자체도 나쁘지 않았습니다.,10,57,33,2020-06-24 00:04:00,관람객
35,정수빈(hotr****),스포일러가 포함된 감상평입니다. 감상평 보기,6,83,59,2020-06-16 17:02:00,관람객
36,tpdl****,배우들의 연기 특히 남동생 맡았던 배우의 연기가 너무 좋아서 끝나자마자 바로 찾아봤습니다! 실화 바탕이라서 그런지 몰입감이랑 감동도 높았어요 엄마랑 같이보는거 추천합니다!!,10,72,49,2020-06-10 13:27:00,관람객
37,설향(choi****),배우들이 연기를 정말 잘하시네요~ 몰입해서 잘봤습니다,8,94,74,2020-06-13 22:22:00,관람객
38,AN HYUN BIN(ahb1****),대천 막걸리 농약 사건을 다뤘던 실화여서 재밌게 잘봤습니다 메가박스 코엑스에서 봤는데 재밌었습니다,10,24,5,2020-06-20 14:12:00,0
39,hob(hoba****),연기를 잘하는 걸 잘한다고 하지 그럼 뭐라해 말 그대로 배우들 연기 좋고 연출 좋고 지루하지 않은 보기좋은 영화였는데 평점 알바니 뭐니 좋은 꼴 못 보는 사람들이 딱 저러지 한심,10,28,9,2020-06-15 19:12:00,0
40,박동준(djpa****),재미있고 인상깊은영화였어요.,10,30,11,2020-06-16 14:50:00,관람객
41,헛둘(gorg****),오우 최고였음감성을 자극하고 스토리도 무지 좋앗슈근래 본 영화중 최고였슈,10,33,14,2020-06-21 23:58:00,관람객
42,Rudolf(bit1****),"작품 후반에 나오는 정인의 대사에서 감독의 심정을 느꼈다""왜 이렇게 됐는지 모르겠어요""나도 영화가 왜 이렇게 된 건지 모르겠다",5,21,3,2020-06-27 05:03:00,관람객
43,Adrian(aedr****),신혜선과 배종옥 배우의 뛰어난 연기로 몰입하기 좋았습니다~ 긴장감 있으면서도 시원시원하게 전개되네요. 엄마랑 극장에서 보면 좋을 영화로 추천합니다~!,10,42,24,2020-06-10 16:38:00,관람객
44,장구(jrod****),부모자식간에끊을수없는사랑과진실앞에서의갈등을잘표현했으며주인공들은연기가어우려져가슴시린감동을주는영화,10,55,37,2020-06-12 15:38:00,관람객
45,가현(yuj0****),"신혜선님과 배종옥님의 연기가 일단 흐름을 따라가기에 좋았다. 특히 신혜선님의 딕션이 변호사라는 직업과 너무 잘 어울렸고 사건의 해결과 두 모녀의 감정선,과거의 일들 모두 지루하지 않고 재밌었다.",10,24,7,2020-06-28 19:05:00,관람객
46,이만기(rcbo****),짙은 여운이 남는 영화. 배우들의 연기가 훌륭했습니다.,10,66,49,2020-06-10 12:59:00,관람객
47,greentea5555(ehdd****),결백 개봉만 기다리고있었는데 무조건 강추입니다 캐릭터에 나도 모르게 감정이입되는 결말!!,10,90,73,2020-06-10 21:58:00,관람객
48,ㄴㄴㄴㅇㅎ(smck****),살아있다 보고나서 본거라 그런건지 너무 재밌었습니다.,9,17,1,2020-06-28 12:23:00,0
49,allall(hong****),믿보신 소름돋는연기,10,24,8,2020-06-20 11:29:00,0
50,은베이(0lal****),신혜선이 다했다. 신혜선 연기 짱이다.,10,24,8,2020-06-13 09:46:00,0
51,왜그러고 사니(sul4****),별점 왜이렇게 낮음? 1점 줄 정도는 아닌데ㅋㅋ K-장녀로써 너무 공감됐고 아들만 찾는 엄마 보면서 저절로 한숨 나왔네요ㅋㅋ...,10,26,10,2020-06-15 17:54:00,0
52,제이든(achm****),평점테러알바생들이 너무도 많은 세상 눈물만 나와도 신파네 뭐네 공감하기를 거부하는 세상 (신파의 사전적 의미는 아는지?) 오히려 결백해야할 이들이 결백하지 않다는 제목의 아이러니...더욱 현실과 닮아있는 결말에 납득...,10,18,3,2020-06-28 22:59:00,0
53,은비(jeon****),"치매로 딸 못알아보다가 마지막에 내새끼....!!!할때 눈물터짐 ㅠ 나만 재밌는거야...? ㅜ ㅜ 신혜선 언니 ,,, 예뻤던건 알고있었는데 진짜 예쁘고 연기 ㅈㄴ 잘함 ㅜㅜㅜㅜ사랑해요 흐어어어어ㅓㄱㅣ 남자친구랑 집중...",10,25,10,2020-06-24 06:34:00,0
54,웃겨(rlag****),신혜선 연기는 말이 필요없다,10,27,12,2020-06-20 12:50:00,관람객
55,Outer Space(rhde****),그냥 최고입니다 보는내내 몰입하고 너무 재밋게봤어요,10,28,13,2020-06-19 22:46:00,0
56,류환(tntt****),신혜선배우님 연기대박이시네요 영화스토리 너무좋았고 너무재미있게 잘봤어요 . 다음 영화나 드라마 나오시는것도 챙겨볼께요. 신해선배우님 항상응원합니다.,10,30,15,2020-06-14 20:40:00,관람객
57,히히(woll****),난재밌게봤는데 밑에 별점깎아먹은사람들이 오히려 알바인듯ㅋㅋ,10,39,24,2020-06-20 09:30:00,0
58,트래블러(khpg****),"결백은 아니잖아, 억지로 감동짜내기",1,46,31,2020-06-16 20:40:00,관람객
59,슈퍼스타(yeun****),"기다린만큼 만족스럽고, 명품배우들 연기는 두말하면 입아픔!!",10,59,44,2020-06-10 10:52:00,0
60,박수진(pk52****),사람들이 재미없대서 기대 안하고 갔는데 재밌는데요..?,8,15,1,2020-07-05 00:43:00,0
61,lkj0****,신혜선 배우의 딕션은 정말 최고...,10,18,4,2020-06-28 13:39:00,0
62,codu****,신혜선 연기 최고 ㅠㅠ 너무 잘 봤습니다,10,18,4,2020-06-15 13:06:00,0
63,nabi1004(1004****),역시 신혜선 배우님 믿고봅니다,10,22,8,2020-06-12 14:11:00,0
64,샤방샤방(swee****),간만에 극장 다녀온 보람이 있네요~ 무조건 보세요!,10,65,51,2020-06-10 13:49:00,관람객
65,AA(yong****),영화 대사 중 “이제 어떻게 해야 돼요” 말처럼 앞으로 이야기가 어떻게 흘러갈지 예상치 못했다. 흔한 재판 영화가 아니었다.,8,13,0,2020-06-28 14:39:00,0
66,다연러블리(rekd****),역시 신혜선님,10,16,3,2020-06-22 21:47:00,0
67,고음불가(samt****),연기만 좋고 스토리 개연성은 부족합니다.,6,17,4,2020-07-12 23:26:00,관람객
68,쥰입니당(rjdn****),스포일러가 포함된 감상평입니다. 감상평 보기,9,18,5,2020-06-15 16:00:00,0
69,박(park****),정말 그냥 2시간내내 몰입해서 봤어요....최고,10,20,7,2020-06-20 00:22:00,0
70,june****,나는 결백 재밌게 봤어요 여러분,10,21,8,2020-06-11 17:40:00,0
71,jeon****,간만에 볼만한 영화입니다~,10,24,11,2020-06-21 23:52:00,관람객
72,헬보이(bale****),결백 보려고 오랜만에 영화관 옴. 존잼. 오길 잘했음.,10,43,30,2020-06-10 18:37:00,관람객
73,오피큐알(zkql****),개봉전부터 보고싶었는데 시간 가는 줄 모르고관람했습니다. 어느정도 스스로 내용을 그려가면서 보더라도 충분히 재미를 주네요. 오랜만에 영화 봤는데 대만족입니다,10,47,34,2020-06-14 11:53:00,관람객
74,taij****,시간 순삭. 오랜만에 영화다운 영화 봄.,10,15,3,2020-06-20 17:48:00,0
75,JJ(amyj****),"신혜선 배우님 첫 주연영화 결백 개봉전부터 기대했던 작품이었는데 예상대로 스토리도 스토리 나름 탄탄했고 배우들 연기도 좋았음. 앞으로도 여주 원탑영화, 여성 서사 스토리의 영화가 많아졌으면 함.",10,15,3,2020-06-20 17:31:00,0
76,이종순(whdt****),스포일러가 포함된 감상평입니다. 감상평 보기,10,15,3,2020-06-19 18:44:00,0
77,지니(haji****),스포일러가 포함된 감상평입니다. 감상평 보기,10,16,4,2020-06-22 20:13:00,0
78,myma****,너무 재밌어요 잘 만든 영화입니다.,10,16,4,2020-06-20 17:34:00,0
79,2교대노동자(oong****),스포일러가 포함된 감상평입니다. 감상평 보기,10,23,11,2020-06-12 12:42:00,0
80,밀크(ck_m****),"엄마가 자꾸만 생각나는 영화. 배종옥, 허준호 배우의 일품연기는 물론이거니와 신혜선, 홍경 배우의 재발견이라고 볼 수 있는 연기파 배우들의 멋진 영화인 것 같습니다. 개봉해줘서 감사합니다ㅠㅜㅠㅠ",10,26,14,2020-06-10 14:15:00,관람객
81,랄랄라(bell****),기대했던것보다 재미있었어요배종옥연기 ㄷㄷ신혜선도 연기 잘하네요,10,27,15,2020-06-22 20:31:00,관람객
82,Hyemu(agne****),워낙 연기력 탄탄하신 배우분들이 나오는 영화라 개봉 전부터 정말 기대했었는데.. 드디어 이제서야!!!! 나왔네요!!!! 기다리다 개봉날 바로 보고 왔습니다!! 역시나는 역시나네요~ 간만에 좋은 작품 보았어요!! 마스...,10,27,15,2020-06-10 14:24:00,관람객
83,소블리(wbdj****),간만에 영화보니좋았는데 배우들도 다연기잘해서 몰입해서봤다 이런영화를좋아해서 그런지 만족 대만족 한번슬픈장면도있었는데 눈물또르르,9,32,20,2020-06-25 16:32:00,관람객
84,pppl****,"보통 평 잘 안 쓰는데 들어와서 쓰게 만드는 영화네요.. ㅎㅎ일단 시작부터 집중하게 만들어 보는 내내 몰입하게 되네요..스토리 구성이 탄탄하고 치밀한데다가 루즈한 순간도 없고, 배우분들 연기도 좋아서.. 계속해서 몰...",10,37,25,2020-06-10 14:08:00,관람객
85,zzzz132(stoc****),요즘 코로나 땜에 영화계 매출이 1/100 로 줄어서 삼류 밖에 개봉을 안하는 이 시점에서 나름 괜찮은 영화임. 볼만함,8,51,39,2020-06-10 11:08:00,0
86,will(apri****),신혜선 배종옥 혼신의 연기..막판에 눈물 확 터뜨리네..ㅠㅠ 아 슬프다...,10,57,45,2020-06-10 17:01:00,관람객
87,쁠리(kims****),연기너무좋았어요 신혜선배우님 팬 됐음 다른 배우들도 연기력 영화 재미있게봤어요 감동도있고ㅠㅠ,10,61,49,2020-06-14 15:51:00,관람객
88,kand****,연기는좋으나 약간 신파ㅠㅠ,8,12,1,2020-07-07 19:03:00,관람객
89,top9****,,10,13,2,2020-06-28 14:19:00,0
90,선영(beak****),진짜진짜 스토리 너무 잘짰고 엉청 슬펐어요.... 꼭 보세요,10,13,2,2020-06-20 18:20:00,0
91,별빛마을소년(remo****),스포일러가 포함된 감상평입니다. 감상평 보기,10,13,2,2020-06-16 14:09:00,0
92,노재희(jwoo****),보고와서 알았음 평점은 무작정 좋게 주는 알바만 있는게 아니라 그 반대로 무작정 테러만하는 무식한 사람들도 있다는 사실 연출 너무 좋네요 배종옥이랑 신혜선 굉장히 태가 닮았구나 하는 생각이 들었음 깔끔함,9,14,3,2020-06-23 10:32:00,0
93,okwinner(okwi****),스포일러가 포함된 감상평입니다. 감상평 보기,10,15,4,2020-06-15 10:04:00,0
94,조만장자(arma****),"그냥 봤는데, 생각보다는 많이 재밌네요. 느끼는 것도 많았구요. 추천합니다.",10,16,5,2020-06-28 15:21:00,0
95,월하(kdw_****),어제 관람했는데 신혜선 배우뿐만 아니라 다 연기 잘하고 시간가는줄 모르고 봤음,10,16,5,2020-06-20 01:22:00,0
96,봄소식(qkrw****),신혜선씨 연기를 다시보게 되었습니다,10,16,5,2020-06-20 01:02:00,0
97,정다희(rudt****),신혜선 연기는 알아줘야함! 얼굴도 예쁘시고 배역에 딱 맞는 연기를 보여줌 배우들도 연기 정말 잘하셔서 몰입해서 봤었네요 근데 뭔가 내용이 좀 뒤로 갈수록 지루해졌어요 뻔한 얘기라 그랬는지...그게 좀 아쉽네요 제 감...,7,16,5,2020-06-11 20:22:00,0
98,nshs****,스포일러가 포함된 감상평입니다. 감상평 보기,10,17,6,2020-06-11 14:27:00,0
99,자유인(bles****),오랜만에 영화를 보았는데 두시간이 금세 흘러갔네요. 연기 잘하는 배우들 덕분에 몰입도가 최강이었습니다!!,10,19,8,2020-06-12 23:56:00,0
100,리액터그레이드지르코(jojo****),너무너무 좋았습니다연기는 두말할것 없고 신혜선씨의 연기는 원래 워낙 좋았는데 이번작품에서는 신혜선씨의 눈빛이나 목소리가 너무너무 좋았어요 배종옥님은 와우 저 보고 울었습니다 모성애 연기가 대단하다고 느꼈어요 허춘호님...,10,19,8,2020-06-12 13:58:00,0
101,이정빈(cndd****),연기에 흠잡을 때가 없이 다른 배우분들도 최고였지만 탄탄한 스토리와 혜선 배우님의 연출이 최고였던 거 같다. 감동이 더 해지는 영화라고 생각하며 결백이 더 흥행했으면 좋겠다,10,19,8,2020-06-12 12:57:00,0
102,MK스테이션(203c****),정말 오랜만에 좋은영화밨습니다. 연기자들 연기도 좋았고 연출 시나리오 다 좋았어요 대박영화로 기대됩니다,9,20,9,2020-06-12 20:20:00,0
103,Elli(hear****),여성주연영화인 만큼 신혜선 배종옥 배우의 연기가  돋보이더라고요특히 신혜선 배우가 하드캐리했네요 ㅎㅎ,10,20,9,2020-06-12 13:18:00,0
104,송이엄마(jewe****),연기를 정말 잘하네요 코로나때문에 극장 못갔었는데 오랜만에 좋은영화 보고왔네요,10,22,11,2020-06-24 23:44:00,관람객
105,tira****,재미있습니다.. 연기도 좋구요.,10,22,11,2020-06-20 16:58:00,관람객
106,언제나건강(tmdd****),신혜선.. 최고다..연출 처음 원테이크 좋았다내용 최고다조연들 최고다,10,22,11,2020-06-11 23:55:00,0
107,별명(qkrw****),출연진들의 탄탄한 연기력에 한 장면도 놓칠 수 없었다. 결백의 의미에 대해 다시금 생각해 보게 하는 영화.,10,49,38,2020-06-10 13:00:00,관람객
108,캘러웨이(zoo6****),추적극이라고 해서 그런 것만 기대했는데 찐한 드라마도 있어서 놀람ㄷㄷ 추천할만함,10,50,39,2020-06-10 15:22:00,관람객
109,사막여우(ljy2****),스토리 좋고 배우들이 연기 잘해서 그런지 재밌게 봤습니다. 살아있다를 보고 와서 그런지 더 재밌게 본 것 같기도 함니다. 이번 여름 볼만한 영화!,9,10,0,2020-06-28 14:41:00,0
110,shooting star(seoc****),"신혜선 배종옥 허준호 배우님을 비롯한 배우님들 연기는 두 말 할 것도 없이 완벽하고, 스토리도 뜻하지 않은 방향으로 전개되어 긴장감있게 몰입해서 시청했습니다.조금 클리셰적인 연출이 없는 것은 아니었지만, 코로나19 ...",9,10,0,2020-06-28 13:32:00,0
111,아폴론(kyu7****),스포일러가 포함된 감상평입니다. 감상평 보기,10,11,1,2020-06-23 18:10:00,0
112,NY(ny_0****),스포일러가 포함된 감상평입니다. 감상평 보기,10,12,2,2020-06-23 22:32:00,0
113,한미공작원(dhlb****),스토리 탄탄하고 진짜 돈 안아까워요 꼭 보세요 신혜선을 다시 보게 된 영화. 연기력이 다했다!,10,12,2,2020-06-20 19:53:00,0
114,daeg****,,10,12,2,2020-06-20 19:49:00,0
115,김동완(pkyh****),,10,12,2,2020-06-20 10:29:00,0
116,kimj****,연기는 다 좋았다 그러나스토리의 앞부분은 긴장감이 있었지만 끝 마무리가 급하고 허무했다 돈이 조금 아까웠다 그래도 연기력이 좋아서 집중은 되었던 것 같다,6,13,3,2020-07-02 00:06:00,관람객
117,별빛바다(qjwl****),,10,13,3,2020-06-20 02:03:00,0
118,육(dbwl****),재밌었어요 지루할틈 없어용 ㄹㅇ,9,13,3,2020-06-20 00:35:00,0
119,jora****,잘만든영화 다들 연기도 몰입감있게 잘하고 스토리 연출 모든배우 다 자연스럽고 잘녹아들었다,9,14,4,2020-06-12 00:50:00,0
120,분노한놋데(yshi****),진짜스토리 짜임새. 연기자들  연기. 특히  주인공 신혜선배우 감정연기등은  나무랄데가 없네요. 코로나때문에  힘든시기에    명작.  명품배우  탄생이네요,10,14,4,2020-06-11 18:49:00,0
121,홍익 아라치(dldm****),‘결백이란 무엇인가’라고 생각하게 되는 영화였어요 신혜선 배우님이 안정인을 이해하기가 어려우셨다고 인터뷰 하셨는데 그 이유를 알 것 같았어요 집중이 잘 됐고 재밌게 봤고 신혜선님 연기 짱이고 반전 좋았습니다,9,15,5,2020-07-04 17:03:00,0
122,스타로드(nare****),재밌게 잘봤습니다 신혜선 배우 넘 이뻐요,10,15,5,2020-06-20 12:33:00,0
123,쫑(jong****),뻔할 줄 알았는데 생각보다 치밀하고 재밌었음,10,15,5,2020-06-20 00:36:00,0
124,제이(hjkl****),"연출,연기,스토리,영상미,ost 모든게 탄탄했고 재미있었다. 신혜선이란 배우에 대해 새롭게 관심갖게 되었고 보는 내내 몰입도 높고 흥미진진했어요. 다른 배우들 연기도 최고였고 영상 디테일도 좋았습니다!",10,15,5,2020-06-12 14:46:00,0
125,홀리(ahd5****),"각자 소중한 것을 지켜야 했던 사람들의 이야기. 이 영화는 순천 청산가리 막걸리 사건을 모티브로 만들어졌다. 딕션, 약간의 반전, 단연 돋보이는 연기까지.. 약간은 뭉글하여 끝에 도달해서는 생각을 하게끔 한다.",8,15,5,2020-06-11 20:31:00,0
126,이지민(jimi****),스포일러가 포함된 감상평입니다. 감상평 보기,10,16,6,2020-06-20 14:19:00,0
127,이딤(seul****),"코로나 때문에 개봉일자 연기되서, 계속 기다렸던 영화였는데 기다린만큼 잘 봤습니다. 배종옥님과 허준호님 연기는 말할 것도 없고 신혜선씨 덕분에 몰입감도 너무 좋았습니다. 안 보신 분들 마스크 쓰고 꼭 극장가서 보시길...",10,16,6,2020-06-12 21:33:00,0
128,왕(army****),신혜선 연기가 진짜 진짜 진짜 개 잘합니다! 영화 제목처럼 결백을 주장하는 내용인데 어찌보면 뻔할 수 있지만 배우들의 연기와 감독의 연출 초반 롱테이크 장면이라든지 등등 너무 재미었습니다 시간 가는 줄 모르고 봤어요...,10,16,6,2020-06-12 11:23:00,0
129,SoSo(llpr****),너무 좋았어요! 몰입도가 높았어요! 누구 하나 빠지지 않는 연기에 깊이 감동했구요 영상도 연출도 참 좋더라구요! 영화관 정말 오랜만이였는데 좋은영화 봐서 정말 좋았습니다 이렇게 감상 남기는 스타일 아닌데 정말 너무 ...,10,17,7,2020-06-12 14:05:00,0
130,bibl****,오랜만에 좋은영화 잘봤습니다,10,17,7,2020-06-12 13:51:00,0
131,히로(badb****),재미있게 잘 봤어요. 연기가 너무 좋네요,10,17,7,2020-06-12 13:42:00,0
132,짬뽕브라더스(dong****),"재밌게 봤습니다.다른분들도 다 연기 잘하시고, 특히 신혜선님 연기 잘하시더군요. 드라마 학교2013  에서 처음 봤던 기억이 나네요.",10,17,7,2020-06-12 12:35:00,0
133,까뭉(yaen****),이런거 처음남겨요신혜선씨 연기잘한다고 해서 그전에 드라마나 영화는 안봤어서 뭐얼마나?그랬는데어제 보는데 진짜 중간에 소름끼쳤어요ㅠㅠ연기 너무잘하셔서 진짜 오랜만에 보러갔는데재미있게 보고 왔습니다 내용도 뻔하지도 않았...,10,17,7,2020-06-12 12:11:00,0
134,midni(thdu****),신혜선님 연기 너무 좋았어요ㅠㅠ,10,17,7,2020-06-12 08:38:00,0
135,June(jazz****),꽤 좋은작품  후회하지않을거에요,10,17,7,2020-06-12 03:38:00,0
136,주(dmsw****),신혜선 눈물연기 완전 인상적 그와중에 동생역도 굿,10,17,7,2020-06-11 23:02:00,0
137,냥이아버님(libe****),시간 가는지 모르고 봤어요.,10,18,8,2020-06-13 15:27:00,0
138,현죵이(dugu****),반전 반전  돈아깝지 않움  두번이라도 보겠어,10,18,8,2020-06-13 12:24:00,0
139,sofr****,코로나만 아니였으면 최소 300만 이상의 흥행은 게런티할 수 있는 영화라 생각합니다. 스토리라인 자체는 제목에서 드러나다시피 어느정도는 예측되는 이야기이지만 배우들의 연기력이 돋보여 정말 시간가는줄 모르고 재밌게 봤...,10,18,8,2020-06-13 00:14:00,0
140,하마(mins****),코로나만 아니였음 대박났을텐데 너무 아쉽네요ㅜ완전강력추천입니다 꼭보세요 스토리며 연기며 오랜만에 재밌는영화봐서 기분좋아요 댓글 처음 써봅니다.. 꼭보세요,10,18,8,2020-06-10 22:52:00,0
141,해리(dlse****),신혜선 배종옥 허준호 모두 연기만점!!신혜선은 정말 매력있는 배우!!,10,19,9,2020-06-13 09:59:00,0
142,자두(h486****),너무 재밌게 봤어요~ 정말 다들 연기를 넘  잘하셔서 시간 가는줄 모르고 봤네요,10,19,9,2020-06-12 10:57:00,0
143,김현지(gusw****),아니 평점 왜 이러지 진짜 나만 재미있었나? 1점 너무 많아서 걱정하고 봤는데. 뻔한 스토리 전혀 아니고 어느정도 반전도 있고 감동도 있고 돈 아깝다고 생각 1도 안 하면서 나왔는데 알바들 너무 많다 진짜...,10,20,10,2020-06-20 18:06:00,0
144,미라이(mira****),코로나19이후 오랜만에 극장.. 3월 연기로 기다렸던 작품.역시 배우들의 안정적인 연기와 반전 내용이 좋았어요,10,21,11,2020-06-10 13:39:00,0
145,문선영(mm10****),,10,21,11,2020-06-10 10:38:00,0
146,kn_(kn_t****),신혜선 배우 좋아해서 개봉하자마자 조조로 봤네요. 사실 영화 자체는 크게 기대안했었는데 생각외로 몰입도가 높아서 초 집중하고 봤네요. 돈 안아까운 영화였어요!,9,22,12,2020-06-10 11:21:00,0
147,GGAP(ffft****),스토리도 탄탄하고영상미가 좋은 작품입니다코로나 때문에 오랜만에 극장에서 봤는데 너무 좋네요!입소문 잘 나서 더 흥행하길 바래요,10,28,18,2020-06-15 19:06:00,관람객
148,황금날개1호(chai****),영화 결백은 막걸리 농약 살인 사건을 토대로 만들어진 영화.정인의 엄마와 아빠에게 어떤 일이 있었던걸까?정인의동생 홍경은 왜 자폐아가 되었을까?정인의 아빠와 추시장 그리고 동네사람들에게 어떤일이 일어났던걸까?조각의 ...,10,31,21,2020-06-10 10:07:00,0
149,브루스 리(swea****),탄탄한 스토리와 배우들의 열연이 돋보였습니다.,10,36,26,2020-06-10 14:16:00,관람객
150,서은배(xhie****),"오랜만에 극장가서 본 제대로된 영화였네요 배우들연기, 스토리 뭐하나 빠짐없이 좋았음 ㅠㅠ 신혜선씨 짱짱",10,41,31,2020-06-10 17:26:00,관람객
